"STATION","DATE","DLY-DUTR-NORMAL","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"PSW00040309","02-01","11.7","82.1","88.0","76.3"
"PSW00040309","02-02","11.7","82.1","88.0","76.3"
"PSW00040309","02-03","11.7","82.1","88.0","76.2"
"PSW00040309","02-04","11.7","82.1","88.0","76.2"
"PSW00040309","02-05","11.7","82.1","88.0","76.2"
"PSW00040309","02-06","11.8","82.1","87.9","76.2"
"PSW00040309","02-07","11.8","82.1","87.9","76.2"
"PSW00040309","02-08","11.8","82.0","87.9","76.2"
"PSW00040309","02-09","11.8","82.0","87.9","76.1"
"PSW00040309","02-10","11.8","82.0","87.9","76.1"
"PSW00040309","02-11","11.8","82.0","87.9","76.1"
"PSW00040309","02-12","11.8","82.0","87.9","76.1"
"PSW00040309","02-13","11.8","82.0","87.9","76.1"
"PSW00040309","02-14","11.9","82.0","87.9","76.1"
"PSW00040309","02-15","11.9","82.0","87.9","76.1"
"PSW00040309","02-16","11.9","82.0","87.9","76.1"
"PSW00040309","02-17","11.9","82.0","88.0","76.0"
"PSW00040309","02-18","11.9","82.0","88.0","76.0"
"PSW00040309","02-19","12.0","82.0","88.0","76.0"
"PSW00040309","02-20","12.0","82.0","88.0","76.0"
"PSW00040309","02-21","12.0","82.0","88.0","76.0"
"PSW00040309","02-22","12.0","82.0","88.1","76.0"
"PSW00040309","02-23","12.1","82.0","88.1","76.0"
"PSW00040309","02-24","12.1","82.1","88.1","76.0"
"PSW00040309","02-25","12.1","82.1","88.1","76.0"
"PSW00040309","02-26","12.1","82.1","88.2","76.0"
"PSW00040309","02-27","12.2","82.1","88.2","76.0"
"PSW00040309","02-28","12.2","82.1","88.2","76.0"
"PSW00040309","02-29","12.2","82.1","88.2","76.0"
